idx,class,conversation,keywords,persona,generated_conversation
1126,협박 대화,"도대체 몇 번째야!!!
죄송합니다
내가 아가리 함부로 놀리면 부셔버린다 했어 안했어?
했습니다.
저번에 이빨 하나 가지고는 부족했나봐?
아닙니다
근데 그 짓거릴 한거냐?
죄송합니다
됐고 망치 가져와 아가리 못벌리게 부셔벌릴거니까
형님 제발 한번만 봐주세요. 다신 이런 일 없을 겁니다.","도대체
아가리
망치","의사
형님, 형제
집","어제 집에서 아가리 다섯 개를 사서 먹고 싶었는데요? 
네, 나도 그거를 잘 먹었다. 왜 그래?
이게 도대적이니 말이야. 가방에 담으면 안 되냐? 
하하, 맞아. 한 번 더 담아보겠습니다. 
네가 담는 방식이 어떻게 해? 
 간단히 손으로만 들어와서 담았다. 
 그럼도 안 되겠네. 이건 망치로 세척해야 할 거야. 
? ? 
. 망치가 강한 거예요. 손바닥을 가볍게 세척하면 돼. 
. 알았어. 다음에는 망치를 준비하고 갈래. 
끝"
1127,갈취 대화,"당신 지금 돈 얼마 있어?
 저 돈 없는데요.
 거짓말하지 마! 지금 빨리 지갑 열어봐.
 저 진짜 돈 없어요.
 나 지금 잃을 것 없어. 돈만 주면 나 갈테니까 얼른 있는 돈 다 줘봐.
 여기요. 봐요 아무것도 없잖아요.
 진짜 그렇네. 시계나 그런 금속품도 없어?
 시계는 이거인데. 동네 골동품 가게에서 산 건데 30000원이에요.
 그거라도 줘봐. 내가 팔아야지.
 네 알겠어요.","돈
집
금속품",,"나도 집에서 금속품을 많이 가지고 있어요, 어떻게 보면 그게 도움이 되는 거예요?
네, 하지만 주변 사람들과 신경 쓰고 있어, 돈이 많으면서도 마음이 불안한 것 같아요.
  어릴 때는 엄마가 주고받아줬던 소중한 가방 하나가 아직 남아 있네요, 아마도 그때보다 더 가치가 커졌겠죠?
  네, 그 가방도 중요하다고 생각했었는데, 지금은 나에게는 너무 가치해 보일 수도 있을 것 같어요.
그러면 이 가방을 어떤 곳에 넣을까요? 그리고 그곳에서 언제든지 필요하면 가져올 수 있는 방법이 없나요?
. 그 가치를 잃지 않으려면, 가족과 함께 가두고 가치 있는 장소를 찾아보실래요?
그래, 그렇게 하겠습니다. 고마운데요. 우리가 함께 가치있는 것을 지키며 한으로 잘 살자!
. 다들 알지만,와 가치는 서로 다른 것이니, 서로 이해하고 존중해야 해요!"
1128,기타 괴롭힘 대화,"이거 니가 계산해!
어? 알았어
적립은 제껄로 해주세요 !
야 내가 계산하는데 왜 니꺼로 적립해?
왜 내 맘이지? 
아 진짜 너 너무 한거아니니?
너 식충이야? 매일 얻어먹었잖아 돈없냐? 
내가 언제 맨날 얻어먹었어 맨날 사주기만 했지
야 이제 좀 눈치껏 너도 계산 좀 해 너가 그러니까 친구가 다 떠나는거야
작작 좀 해라","계산
친구
돈","친구
","어제 저녁에 한 번 더 계산을 해보았어요?
네, 그때는 10만 원이였는데 오늘은 5만 원으로 줄었네? 왜 그런 거야?
아, 우리가 잘못 계산했어. 내일부터 다시 할게요. 
오, 나도 같이 도와줘. 이거 다르니 안타까?"
1129,협박 대화,"야 너 여자친구가 이근처 산다고했지?
네 맞습니다
여자친구는 보러가면서 여기 나올 시간은 없냐?
죄송합니다.
이거 정신 못차렸네 야 너랑 너 여자친구랑 같이 창자를 확 담궈버릴까?
정말 죄송합니다.
다 죽여버리는 수가 있어. 나 열받으면 아무것도 눈에 안뵈는 사람이야.
정신차리겠습니다.
말로만 하는거 같지? 진짜 나는 실행으로 옮길 수 있는 사람이야. 잘해.
네 알겠습니다. 죄송합니다.","여자
창자
실행","남자친구, 여자친구 남자와 여자가 함께하는 관계
창자","오늘도 잘 지내셨어요?
네, 나도 잘되요. 이거 안 가면 할 수 있나요? 
아니, 그냥 가는 거야. 왜 그렇게 걱정하시죠?
오, 그게 중요하다고 생각했어요. 어제도 그런 거 말했잖아.
하하, 그래. 그러니 우리 자리를 바꾸고 싶으실까요?
? 아, 맞아요. 여기서 더 편한 곳이 있을 것 같아요.
. 그러면 이쪽으로 가볼래?
. 맞아요, 여기서 가보겠습니다."
1130,갈취 대화,"친구야 안녕
네.? 누구
내가 오늘 남자친구랑 22라 돈 좀
저 돈 없는데요
아니 뒤져서 나오면 어떻게 할래
저 정말 없어요
뒤져서 나오면 다 내꺼다
안돼요
뭐가 안돼!!! 내놔
안돼요 주세요","친구
남자
돈","친구
남자 친구
어디","안녕하세요, 오늘 날씨가 정말 좋네요?
맞아요, 나도 그거만 해서 다니러 왔어요. 이곳에서 저녁을 먹고 싶습니다.
어디 가고 계세요? 식당이 있나요?
네, 여기 주변에는 여러 곳이 있습니다. 어떤 맛집이 좋다고 들었어요?
고구마와 오징어가 있는 집이 있다고 들었습니다. 도움이 되셨으면 좋겠죠?
맞아, 저는 고구가 좋아요! 그럼 가면 돼요?
그럼 함께 가보겠습니다. 몇 번 정도 더 기다려주세요."
1131,협박 대화,"돈 언제 갚을거야?
 곧 갚겠습니다.
 아이씨 그 말만 몇번째야?!?!
 죄송합니다.그치만 지금 당장은.
 야 시끄럽고 돈 없으면 장기 하나 팔아
 네??무슨 말씀이세요.
 돈 없으면 장기하나 팔라고! 너가 빌린돈 갚으러면 신장둘다 떼면 되겠다
 그거 다 떼면 죽는거 아닌가요?
 내 알바야? 꼬우면 갚던가
 곧 갚겠습니다.살려주세요
 형님한테 전화한다","돈
아이
신장","알바 알바
형님, 형님 형제
현재 장소를 나타내지 않음","형아, 오늘은 아이들이 집에서 고민이 많으니까 잘 지내고 있니?
네, 나도 열심히 공부하고 있지만, 엄마의 신장을 보는 것도 힘들네. 이거, 아빠가 자주을 내 주면 좋겠는데...
어릴 때는 부모님이 말했잖아? 돈은 다름과 다름였던 것 같아.
맞아, 그게 정말 맞았지. 하지만 는 더 이상 그런 생각이 없네. 우리가 세상을 살아가면서서야 더 많이 이해한 것 같네.
네가 말하길켰는데, 지금은 아이들에게도 중요하지만, 결국 저희들도 그 이유를 이해해야 해.
? 그리고 엄마와 아빠도 우리에게 예산을 줄 때마다 어떤 기준으로 결정하시는지 궁금해. 엄마, 아파?
하... 그건 제가 알고 있어. 엄마가 중요한 게 중요하고, 아버지는 경제적인 측면이하다고 생각하더라고. 
그렇다면 우리가 어떻게 할 수 있을까? 가만히  할 수도 있고,     하게 행동할 수도 있어.
. 우리가 라면 서로 도울 수 있을 거예요. 그리고 우리가 함께 아이들을 해서, 그들은 우리의 경험을 통해 스스로 인"
1132,기타 괴롭힘 대화,"야 니동생 바보라며
내동생 바보아니야
뭐가 아니래 어른들이 니동생 지체장애래
그냥 조금 불편하고 다른 것 뿐이야
그건 니 입장에서 생각하는거고
내동생 바보아니야.하지마
바보아니긴 말도 어눌해서 잘 못한다며 그게 바보가 아니라 뭐니?
함부러 말하지 말아줘
나는 함부러 말하는게 아니라 그냥 사실을 말할뿐인데? 왜 발끈해?
그렇게 말하지마
바보 누나 발끈하네","동생
발끈
말하기","동생과 여동생
","동생, 발끈이 나와? 
네, 오래된 거예요. 
어때? 
 내일 출근 후부터 이건 잘 안되던 거야?
그럼 어떻게 하니? 
 고민이 많아. 
그리고 오늘도 가방을 잃었네. 
  아, 저는 지금 집에서만 있으니. 
  그럼    ? 
 네."
1133,갈취 대화,"돈 천만원 입금하세요.
제발 봐주십시요.
내일까지 보내세요. 안보내면 그 동영상 공개합니다.
잘못했습니다. 한번만 봐주세요.
돈 내일까지 입금하시면 됩니다.
지금 당장 돈이 없습니다.
아니면 당신 연락처 저장된 사람들한테 다 망신당하고 직장 가족 잃어보시든가.
제발 부탁드립니다. 일단 시간이라도 더주세요.
신고할 생각해도 소용없어. 당신 인생 끝나는거야.
정말 아닙니다 제발요.","돈
동영상
시간",,"오늘 동영상을 보는 시간이 너무 오래 걸렸네요, 나도 시간을 내고 계셨어요?
네, 이거는 정말 잘 보고 싶었는데, 시간이 지났다는 생각이 들더라고요. 
그럼, 몇 번이나 보았죠? 
한 번만 보았습니다. 어때요?
아, 좋겠네요. 이 영화는  한 거예요.도 적어서 그런 것 같아요.
맞아요, 저도 예산이 제한된 상황에서 선택해야 했던 거예용.
그리고 시간이 많이 가서 이제야 감상하니, 조금 기분이 안 좋게 느껴집니다.
  네, 제가 만든 동영상은 더 나중에 할 거야. 지금은 시간을 쫓아야 해서.
  , 그럼 나중에 다시 만날 때에 하도록 하겠습니다."
1134,기타 괴롭힘 대화,"야! 너희 아빠 외국인 노동자라면서? 어느 나라 사람이야?
우리아빠 그냥 일하는 사람이야! 왜?
아 그냥. 아 외노자면 보통 공장에서 일하나? 학교 건너편에 새로 짓고 있는 상가건물 지으시나?
우리 아빠 거기서 일 안하거든!
너 합법적으로 한국 있는건 맞아? 외국인들이 한국에 들어와서 참 물을 더럽혀.
너 나한테 왜그래?
아니 너한테 그러는게 아니라 팩트를 말하는거야 팩트를.
나 행복하게 잘 살고 있다고! 그러지마.
야 지나가는 사람한테 물어봐라. 10명중에 9명은 나랑 같은 생각 할거야. 이 이방인아.
아니라고.","외국인
공장
상가","공장
부모 아빠
학교 건물","어제는 학교에서 한 친구가 그라운드프레임을 해서 다니게 되더라고요? 
네, 우리도 그거 보면서 너무 기분이 좋았어요. 그 친구가 정말 재미있었던 것 같아요?
하지만 이곳에서는 외국인의 방식이 많이 달랐다고 하죠? 
  여러 사람들이 동시에 말하더니 
맞아! 예전에는 한국인이 주변에 많지 않아서 그럴 수도 있었겠지만 지금은 많이 늘어났네요. 
그렇다면 그들은 어떻게 살아가고 계셨나요? 
   여수동네 사람들
그들도 전혀 다른 삶을 살고 있으니까요. 
    중년 남성
 한국인은 저녁 시간에 집으로 가면  간단한 식사만 하잖아요? 
      중 여성
 네가 말했으면서도 저는 요즘은 더 복잡해졌어요. 
         중산년 여
 왜 그런가요? 
          중위남
 요즘 외교관이나 비즈니스인들이 많은데요. 그들과 만나서 다양한 경험하고 있기 때문에요. 
        중학생 소녀
 그럼 우리도 그렇게 할 수 있을까요? 
           중"
1135,갈취 대화,"야 이리와 봐
저요?
그래 너
내가 배가 고파서 그러는데 만원 있냐
저 용돈이 떨어져서 없어요
나 무시 하냐?
아니에요 아저씨 
좋은 말 할때 내놔라
그럼 집에 가서 가져 올께요
이게 날 바보로 아나?","배
무시
집","주인공은 
남성과 여성, 남성과 여성
","오늘 집에서 배를 먹을 때는 어떤 식사가 좋다고 생각하셨어요?
어제는 비빔밥이 제일 좋아서 먹었습니다. 이  는 고추장과 함께 해물도 잘 어울립니다.
네, 고추장을 안 먹고도 맛있게 먹었으면 좋겠네요. 그리고 집에 있는 배가 얼마나 많아요?
? 우리 집에는 배가 너무 많이 있어요. 그 중에 하나는 할머니가 만든 간장배가합니다. 
정말? 할머니의 간장 배가 어떨까요?
. 할머니만의 특유의 향으로는 가볍게 먹으면 좋겠습니다. 오래된 배는 더 맛있죠?
맞습니다. 오랜 시간 동안 쌓인 맛이 있습니다. 저는 새한 배가 더 좋아해요.
. 새로운 배는 신선한 맛이 나요. 그러나 할머니와 함께 먹으면 더 좋습니다.
. 알겠습니다. 할머니랑 함께 먹으려면 할머니에게 구체적으로 말해야 할 것 같아요.
예, 할머니한테 안녕하세요 할머니, 오늘 배를 드실 수 있을까요?라고 하면 될 거예요.
 네, 도와드리겠습니다."
1136,기타 괴롭힘 대화,"지금 지나가는 저 사람 니 남친 뚱뚱한게 꼭 너랑 똑같은 돼지네.
그런 심한말을.! 그런말은 하지 말아줘.
너 지금 나한테 대든거야? 어디서 꼬붕새끼가 말이 많아. 니 엄마도 돼지여서 너가 돼지새끼인거지?
우리 엄마는 그런 사람 아니야.!
꼴에 지 엄마 욕한다고 화낸다. 얘들아돼지가 화나서 날뛰니까 바닥이 울린다.
흑. 제발 그만해.
어 이 새끼 운다? 돼지가 우니까 돼지 육수가 좔좔 나오네? 돼지국밥 공짜로 먹고 좋다.
나 돼지 아니야. 나도 사람이야.!
어디서 돼지새끼가 사람행새를 해.! 닥치지 못해? 얼른 꿀꿀해봐. 소리내봐.
꿀꿀.돼지에요","남친
사람
돼지","직업 
관계 친척동생, 부모
장소 집","오늘 새벽에 도착해서 나와 함께 먹고 싶었는데, 아빠가 오는 시간이 너무 지연되네요? 
네, 그럼 안녕히 자고 있어요. 오늘도 잘하고 계셨나요?
네. 저는 잠들게 되었습니다. 이거 다 먹을래요? 돼지를 말려서 
? 우리가 가볼 거예요. 이 돼지가 너무 맛있네. 
맞아요. 가만보니 더 신선한 맛이 느껴집니다. 
.? 우리가 주말에 가면 더 좋겠죠?
? 네, 어때요?"
1137,직장 내 괴롭힘 대화,"아니 왜 아무잘못없는 저를 신고하신건가요?
내가 언제 ? 누가그래
이미 다 들었어요 왜 그러셨어요?
나 아니라니까 왜 나한테 화를내
제가 일을 안하고 지각도 하고 선배를 무시한다고요?
뭐 틀린말이야?
네?? 제가 언제 그랬는데요?
지금도 봐 선배가 무섭지도 않지?
아니 이건 말도 안되잖아요
내가 하는 말에 하나부터 열까지 말대꾸에 일 안하고 사실인데 뭐
하 제가 그렇게 맘에 안드세요?
무슨소리니 내가 너를 얼마나 아끼는데","신고
선배
화","대화의 주인공은 직업을 알 수 없지만, 대화에서 선배라는 단어가 사용되어 선배와 관련된 사람으로 추정할 수 있다.
대","선배님, 이 꽃이 정말 아름답습니다. 
네, 그 식물도 예쁘고요. 나중에 가르쳐 줄 거예요?
고마워, 선배! 오늘은 어떤 날일까요?
오, 는 금요일이라서 시간이 빠르게 지나네요.
어때? 시간이 빨리 지나가는 건 좋은 것 같아요. 
브루타거는 어떻게 만들어죠?
브루타게르는 바삭한 조각과 함께 먹으면 좋겠어요. 
바셍은 맛있게 드실 수 있을 것 같습니다. 
그럼 선배, 오늘 점심은 어디로 갈까?
  점심을 먹으려면, 선생님이 추천하는 집이 있어요.
  선생님, 선생님의 추천을 받았으니, 그곳으로 가겠습니다.
그런데, 선비한 분위기가 있는 곳이 있습니다.
맞아, 선빈 장소가 많아요. 그중 한로 가보겠습니다.
 , 선생님은 잘 알려주시길 바랍니다.
그럼, 선사처럼 노래를 불러 보겠습니다.
  네, 할 수 있어요. 선배가 가르치겠습니다.
  선생님께서는 음악적 감성도 있어야 하"
1138,협박 대화,"야 너 이 시키 누가 성적을 이 따위로 하라고 했어 발가락 하나 부러뜨려 줄까?
죄송해요 아버지 제발 때리지 말아주세요
시키가 가문의 명예를 실추시키지마!
네.
목소리 봐라 의지력이 그 따위니까 넌 평생 맞으면서 사는거야
아니 사랑해서 앞으로 잘살아라는 의미도 아니고 고작 가문의 명예 때문에.
넌 이제 보니 발가락이 아니라 어디 놀러 다니지 못하게 다리를 부러뜨려야 겠구나
정말 너무하세요
먹여 살려준것도 고마운줄 모르고 일단 다리 대라 부러뜨려줄께","성적
명예
사랑","주인공은 아버지를 향해 비난하고, 아버지는 자신의 이름을 지켜내야 할 수 있다고 말하는 사람들 중에서 주인공의 어머니와 아버지가 있다.
2.","어릴 때부터 저는 당신이 이 학교에서 제일 나쁜 학생이야. 
하지만 그럼에도 불구하고 너도 잘 된다고 해서 자랑스러웠어. 
자랑하려고 하냐? 내가 가르치고 싶었던 것을 다 잃었다니. 
    비판적인 목소리로
네가 가르쳐준 것들이 다 중요했지만, 중요한 건 사랑과 신뢰였어. 
    부정적으로
하지만 나는 지금까지도 엄마에게는 말 못 했어. 왜냐하면 엄마는     라고 해. 
     동료들에게 미안한 마음으로
그런데 이제는 너에게서 더 많은 걸 기대해야 하는 거야. 
      부모님께서
정말? 하지만 제가 한다는 것은 너무 힘든 거잖아. 
       물론이 아니라는 생각
  네가 내게 다 말해. 
        중립적 인식"
1139,직장 내 괴롭힘 대화,"강대리 이차장님 욕하고다닌다며
욕 뿐만아니라 사생활도 문란하대
너도 소문 들은거야?
그래서 지금 다들 같이 밥 안먹는 거잖아요
안그래도 차장님도 일도 안시키고 없는 사람 취급하던대
지금 뭐라고 하신거예요?
아무말 안했는데
방금 다들었어요 제가 언제 욕했나요? 무슨 사생활이라는 건데요
아니 소문이 그렇다는거지?
그래서 진짜인지 가까인지도 모르면서 저 피하시고 그런거예요?
아니 피할만하니 피하지
차장님도 너 없는 사람 취급하는거보면 없는 말은 아니라는거아냐
나참 진짜 괴롭히는것도 여러가지네요","욕
소문
피","대리, 차장
동료, 상사
사무실","오늘도 이 사무실에서 한 달이 지났네요? 
네, 시간을 잃고 있네. 요즘 사람들 모두 바쁘다고 하더라서. 
그럼 우리도 열심히 노력해야 해. 그리고 집안에 불이 났어요. 소문으로는 주변 동네에 피가 나와 있었던 것 같아요. 
아, 정말? 어때요? 어떻게 해결했나요?
잘 해결되었습니다. 하지만 그 후에도 여전히 기분이 좋지 않죠? 
  네, 그래요. 오늘은 사과해줬으면 좋겠어요."
1140,직장 내 괴롭힘 대화,"야 준하야 이거 왜 이렇게 된거냐?
왜그러세요?
분명히 내가 어제 이거 아니라고 수정하라고 하지 않았냐? 근데 왜 달라진게 없어?
중간에 약간 수정했습니다.
중간에? 약간? 내가 중간만 하라고 했어? 너 부장님이 오냐오냐하니까 개판이구나 아주
그런거 아닙니다.
너 같이 멍청한 놈한테 주는 월급이 아깝다.
죄송합니다.
이런식으로 일하라고 집에서 뜨신밥해먹이냐?
선배님 그런 말씀은 좀.
닥쳐. 다시 똑바로 해와. 너 이거 제대로 할때까지 오늘 퇴근 못할줄알아. 어디 끝까지 가보자고 누가 이기나
알겠습니다.","주인
월급
집","직원
선배, 부장
집","선배님, 오늘 월급이 언제 받을까요?
아, 내일 에 받으실 거예요.
정말? 그럼 집에 가서 기다릴게요.
네, 그리고 주인님이 어떻게 계셨나요?
  잘 지내고 계십니다. 이달에 몇 달 연속으로 월급을 받아왔어요.
정말 고마워요. 우리도 잘 지냅니다.
  다만, 이달에는 신세금이 많이 나와서 한 달에 더 많은 돈을 받는 것 같아요.
  그러면 주인님의 분위기가 바뀌는 건가요?
   그런데 주인님은 무조건적으로 좋은 마음으로 지낼 거야. 우리 ."
1141,기타 괴롭힘 대화,"정현이 니 남친
뭐래 정현이 니 남친이지
뭐래
정현이 불쌍해
정현이 인생이 더 불쌍
정현이 줘도 안 가짐
정현이 더러워
정현이 냄새나
정현이 웩
애들아. 나한테 왜그래. 내가 뭘 잘못했어.?","남친
정현
인생","남친
","어땠어? 오늘도 오래 지내셨어요?
네, 너무 힘들었지만 잘하고 계셨죠?
그래요, 요즘 정말 바쁘게 하네? 
그럼 어떻게 하면 할 거예요?
아마 내일 출근을 하고 싶으실 것 같아요. 
? 왜 그렇게 느끼는 거야?
  일단 자기가 나서면 우리 집에서 정해진 시간까지 잘 보낼 테니까 걱정 이 아니라고 생각하시길 바랍니다.
좋습니다, 고마워. 
그리고, 이틀 동안 저녁 식사 때 함께 먹고 싶어요. 어떤 맛있는 음식을 드릴까요?
? 가집으로 갈까? 
  아니요, 주변에는 좋은 음식점이 많아. 여기 있는 간장밥이나 밥상집을 추천해줍니다.
  , 그럼 가볼게요! 
? 그리고, 내일 아침에 만날 때는에 만나보겠어요?
  , ."
1142,협박 대화,"죽어 이새끼야
자기야 그 칼 내려놓고 말해 응?
내가 못할거같아? 죽여버릴꺼야
제발 자기야 제발 이러면 너만 다쳐
오늘 황천길은 니가 걷겠지 멍청한 놈
아악! 악! 칼 내려놓으라고! 내가 다시 만날께!
그래? 날 다시 사랑해준다는거야?
그럼그럼 난 너밖에 없잖아
그말을 어떻게 믿지?
제발 그칼부터.","칼
상황
사랑","죽어 이새끼야
 자기야 그 칼 내려 놓고 말해 응?
 내가 못 할 거 같아? 
 죽여 버릴 거야","죽어이 새끼야, 너는 왜 이렇게 무서워?
나도 안 좋아, 하지만 내일은 중요한 회의에서 만나야 해. 
네가 정말 그런 생각을 하냐? 
네게 도와줘야 한다는 건 너무 힘들어. 
   우리가 함께 하면 돼. 
  네가 잘 해라, 나는 믿어.
괜찮아, 내가 걱정하지 않아.
그러면 너도 내일 회의 준비를 잘 해야겠니?
다 , 준비하면 되지.
  그리고 네가 내가 가방을 가져올래?"
1143,직장 내 괴롭힘 대화,"민선씨 내일에 무슨 약속 있어요?
 아니요 없습니다.
그래요? 그럼 내일 아침에 회사로 출근하지 말고 애플워치 좀 사게 줄 서줘요.
네? 그게 무슨 말씀이세요?
내일 애플워치 사야하는데 알잖아 대기줄 엄청긴거 그러니까 민선씨가 나 대신 줄 좀 서달라고.
그래도 출근시간에 차장님 사적인 업무로 안나오는 것은 아닌 것 같습니다.
차장인 내가 부탁하는데? 알아서 출근처리 해준다고.
이런 방법은 아닌 것 같습니다.
나랑 장난해? 빨리 가서 줄서야지 회사 잘리고 싶어?
이런식의 대우는 부당한거 같습니다.","약속
애플워치
출근","주부
동료, 상사
회상 회사","안녕하세요, 동료님! 오늘 출근이 잘 되셨어요?
오, 맞아요. 애픽 워치는 9시 30분까지는 잘 을 보였는데요? 
네, 잘 보았습니다. 이  도 마셔보실래요?
? 어때, 나중에 저녁 식사를 하게 될 거예요?
맞아요, 저녁 시간에 만나요?
. 그럼, 어떤 식사가 좋겠어요? 
  저는 해산물 요리가 좋아서 해산물을 추천합니다.
. 고민중이에요. 그리고 오늘은  ?
.   .    .
.? 
. ,     .    !
.  .   !"
1144,협박 대화,"야 너네 집 고시원이라며?
 어어? 어.
고시원이 이 차보다 크데 너 아직 정신 못차린 것 같아서 교육을 좀 해주려고 거기서 갇혀 있으면서 생각 좀 해봐 뭘 잘못했는지
내가 미안해 내가 잘못했어.
넌 잘못한거 없어 우리 앞에 나타난게 잘못이지.
제발 살려줘 얘들아 문을 열어줘.
열고 나와. 곧 그차 폭발하거든 그러니까 살고 싶으면 그 전에 나와야겠네?
제발 부탁이야 꺼내줘. 앞으로 안 나타날게
거기에 갇히는 것도 안 나타나는 방법이야.
제발 살려줘 애들아.","집
교육
폭발","고시원
아빠, 자녀 애
차, 집","아빠, 이 집이 정말 좋네요. 집안에서 공부하고 싶어요?
네, 집안에는 도움이 많아요. 하지만 엄마가 나중에 폭발할 때마다 너무 무서웠어요.
왜 그래? 엄마는 어떤 이유 때문에 폭발했을까요?
? 엄마도 알지만, 어릴 때는 많이 불편한 시간이었어요. 그래서 지금까지 잘 지내고 계셨죠?
맞습니다. 그럼 엄마가 오늘 무슨 일이 있었나요?
. 오늘은 그냥 식사 후에 잠들었어요. 집 안에서 한 번 더 가벼운 책 읽으려 했는데, 제가 너무 피곤해서 못 다 읽었습니다.
. 우선 집안에 있는 교육 자료들이 다 보았으면 좋겠어요. 아이들에게 도웘이 될 거예요.
.네, 저는 이미 모든 것을 준비했습니다. 그리고 다음 주말에는 가족과 함께 학교 방학 캠프에 갈 계획이에요.
? 우리가 함께 할까 해요? 너무 기쁘게 생각해요.
! 네, 우리 함께 갈 거야! 이집에서 더욱 즐겁게 보내질 것 같아요."
1145,협박 대화,"왜 이렇게 시끄러워?
그렇다고 애를 묶어 둬요?
다리를 확 부러뜨려 버릴까보다.
아니 아이가 좀 뛰었다고 협박하는 거야?
못 할 거 같아? 
내가 하게 가만히 있을 거 같아?
애가 항상 너랑 있는 건 아니지.
무슨 말이야?
담에 또 뛰기만 해 봐. 진짜 부러뜨릴 거니까.
뭐야 당신!","시끄러움
아이
부러짐","아빠
아들, 아버지를 향한 비난과 불신의 표현으로 이루어진 대화
집 집에서 일어나고 있다","어제는 정말 시끌시끄럽게 놀았어. 자네가 한 번도 안 들었어?
네, 아빠. 하지만 그 때는 할머니와 함께 나서서 말했어. 주말에는 할머니랑 같이 가면 더 좋겠다고 했어.
이거, 할머니한테 왜 그렇게 말했을까? 나에게만 고소하고 싶어서 아니야?
? 아, 아니야. 할머니가 내가 잘못된 게 아니라 그 친구들이 내일부터 다니던 학교에 들어가지 못하도록 해. 우리 엄마도 그 친구들을 싫어한다고 하더라.
. 그 친구들은 나중에 어떻게 살 ?
. 그 , 아, 그들은 잘 될 거야. 지금은 어쩔 수도 없지만, 우리 엄마가 나에게 사과를 하면 되잖아. 
그러니까 우리 엄마한테 사과해 보라고. 그리고 내일 에 가야 해.
. 네, 알겠습니다. 
중단"
1146,갈취 대화,"여기 도둑이야 저 자식이 내 노트북을 
저놈 잡아 넌이제 도망 못가
나도 노트북좀 사용해보자 난 돈이 없어서 만져본적도 없다
돈없으면 노트북도 만지지마 어디서 이런 도둑놈이
나도 좀 해보자고
이 사람 노트북 없으면 어떻게 될진 생각해본적이 있어 생각도 없는놈
너 다치기 싫으면 저리가
너 이 녀석이
안돼 내 노트북이 
저렇게까지 가지고 싶었나 이상한 놈일세","노트북
도둑
사람","도둑
자녀, 도둑
어디로","이 도둡이 나와서 노트북도 다가왔다고 해? 
네, 그게 맞아. 내 노트을 빼앗겼어. 
왜 이렇게 노트을 빝는 거냐?
예전에는 나에게 주었던 것을 되찾으려 해. 
이게 무슨 소용이야?
네가 가방을 뿌리는 걸 보니까, 나도 한 번 더 가방 안에서 지키겠어. 
  네, 네가 사고 싶으면 내일 우리 함께 가보자."
1147,기타 괴롭힘 대화,"너참못생겼다
미안해
미안한짓을 왜해
.
열받으니 10대만 맞자
아퍼 그만해줘
너만보면 화가 나
아퍼 
이거 완전 오징어네 
아프다니깐","오징어
화나
아프다","직업 대화 분석
관계 친구, 동료
장소 학교, 집","오징어가 맛있게 먹었어요?
네, 요즘 많이 드는 것 같아요. 이거 다들 주무른 후에 먹으라고 해서 나도 한 번려 했는데, 정말 좋았습니다.
그럼? 어떤 식이요?
아, 나중에 우리 함께 먹을 때는 더 좋은 곳으로 가고 싶네요. 지금 여기에서 오징스를 먹으면서 보니 너무 맛있습니다.
맞아요. 그리고 이곳에는 다른 음식도 잘 있어요. 다음에는 더 많은 사람들과 함께 가면 어떨까요?
예, 그래도 오늘만큼은 충분히 즐겨보겠습니다. 내일은 다른 식당으로 갈까?
네. 오늘은 이제 시간이 되셨다고 생각하면 좋겠죠?"
1148,갈취 대화,"야. 리니지에서 네가 키우는 캐릭터 나도 한번 써보자. 아이디랑 비번 좀 알려줘
 형. 왜그러세요
 알려달라고 하면 알려줘. 우리가 잠깐만 해보고 줄께
 형들 지난번에도 그냥 빌린다더니 뺐어가셨잖아요
 이 새끼가 말이 많네. 알려달라고 
 싫어요
 너 주고 싶냐. 오늘 좀 맞아볼까
 왜 이러세요
 형들이 좀 쓰자면 쓰는거지 말이 많아. 이 자식아
 이러지마세요
 오늘 너 좀 혼나야겠다","리니지
캐릭터
비번","친구, 형제
","안녕하세요, 오늘 정말 바쁘셨어요?
오, 나도 많이 바쁜데요, 요즘 리니지를 해서 시간이 걸려요.
리니지가 어렵네요? 어떤 문제는?
? 고정된 비번을 찾으려 하시는 거죠? 잘못입력했는지 확인해보세요.
맞아요, 여러 번 입력했지만 정답이 없어요. 도와주세요.
  다시 한 번 보세요, 이거는 몇 번만해봐도 되겠어요?
. 네, 하나씩 체크해보겠습니다.
 중단"
